seed,method,metric,value
2,vae_lfm_diagonal,requested_label_accuracy,0.5722222328186035
3,vae_lfm_diagonal,requested_label_accuracy,0.6416666507720947
4,vae_lfm_diagonal,requested_label_accuracy,0.6277777552604675
0,rae_lfm_block,sliced_w2,0.33753358218750607
1,rae_lfm_block,sliced_w2,0.33309861765348153
2,rae_lfm_block,sliced_w2,0.35834364878111136
3,rae_lfm_block,sliced_w2,0.32861933055351694
4,rae_lfm_block,sliced_w2,0.329616656014569
0,rae_lfm_block,mmd2,0.007013838740921763
1,rae_lfm_block,mmd2,0.005882314693943513
2,rae_lfm_block,mmd2,0.0063878538274159125
3,rae_lfm_block,mmd2,0.0049032409066058775
4,rae_lfm_block,mmd2,0.005648304915488289
0,rae_lfm_block,energy,0.06794130218498418
1,rae_lfm_block,energy,0.06154184718346056
2,rae_lfm_block,energy,0.07124913433681801
3,rae_lfm_block,energy,0.05673469513012286
4,rae_lfm_block,energy,0.05887832857501274
0,rae_lfm_block,cov_error,0.4593992384024124
1,rae_lfm_block,cov_error,0.44373234658231925
2,rae_lfm_block,cov_error,0.45340298778664306
3,rae_lfm_block,cov_error,0.4391055474125878
4,rae_lfm_block,cov_error,0.4460439093058371
0,rae_lfm_block,mean_error,0.0742088929661029
1,rae_lfm_block,mean_error,0.06575583135942684
2,rae_lfm_block,mean_error,0.0775349307313006
3,rae_lfm_block,mean_error,0.06058091053425796
4,rae_lfm_block,mean_error,0.06130444688913553
0,rae_lfm_block,feature_frechet,5.2890287688175075
1,rae_lfm_block,feature_frechet,5.859975705262105
2,rae_lfm_block,feature_frechet,7.185866628592632
3,rae_lfm_block,feature_frechet,4.705683498942963
4,rae_lfm_block,feature_frechet,3.6681356441322464
0,rae_lfm_block,class_feature_frechet,11.193438788882835
1,rae_lfm_block,class_feature_frechet,11.939871856769512
2,rae_lfm_block,class_feature_frechet,13.817830632864291
3,rae_lfm_block,class_feature_frechet,9.507704204872005
4,rae_lfm_block,class_feature_frechet,9.194869781737378
0,rae_lfm_block,precision,0.7388888888888889
1,rae_lfm_block,precision,0.7416666666666667
2,rae_lfm_block,precision,0.7166666666666667
3,rae_lfm_block,precision,0.7805555555555556
4,rae_lfm_block,precision,0.7305555555555555
0,rae_lfm_block,recall,0.6027777777777777
1,rae_lfm_block,recall,0.5944444444444444
2,rae_lfm_block,recall,0.5888888888888889
3,rae_lfm_block,recall,0.6027777777777777
4,rae_lfm_block,recall,0.6055555555555555
0,rae_lfm_block,requested_label_accuracy,0.6277777552604675
1,rae_lfm_block,requested_label_accuracy,0.6166666746139526
2,rae_lfm_block,requested_label_accuracy,0.5888888835906982
3,rae_lfm_block,requested_label_accuracy,0.6527777910232544
4,rae_lfm_block,requested_label_accuracy,0.6583333611488342
