seed,modality,method,nll_per_dimension
821,image,exact_split,0.9135533128330828
821,image,full_token_exact,0.9135533128330828
821,image,diagonal_vae,1.0170358336939214
821,image,coarse_only,1.0209343900689438
821,image,full_token_euler,0.913698982550814
821,video,oracle,1.127335882829295
821,video,qalt,1.1274020513149035
821,video,exact_split,1.1274020513149035
821,video,full_token_exact,1.1274020513149035
821,video,diagonal_vae,1.243305407414754
821,video,coarse_only,1.2511355867390628
821,video,full_token_euler,1.1274306980937474
822,image,oracle,0.9053667196476103
822,image,qalt,0.905602434969732
822,image,exact_split,0.905602434969732
822,image,full_token_exact,0.905602434969732
822,image,diagonal_vae,1.009572591187451
822,image,coarse_only,1.013796368868927
822,image,full_token_euler,0.9058739229919526
822,video,oracle,1.1536237956262
822,video,qalt,1.1537429945368167
822,video,exact_split,1.1537429945368167
822,video,full_token_exact,1.1537429945368167
822,video,diagonal_vae,1.2604884325919103
822,video,coarse_only,1.268231098677766
822,video,full_token_euler,1.1539382418251565
823,image,oracle,0.8980825719141197
823,image,qalt,0.8981407442344593
823,image,exact_split,0.8981407442344593
823,image,full_token_exact,0.8981407442344593
823,image,diagonal_vae,1.0042084161880482
823,image,coarse_only,1.0093611870821875
823,image,full_token_euler,0.8982563559335395
823,video,oracle,1.0894632444621566
823,video,qalt,1.089591689705827
823,video,exact_split,1.089591689705827
823,video,full_token_exact,1.089591689705827
823,video,diagonal_vae,1.219615599400129
823,video,coarse_only,1.22322809439448
823,video,full_token_euler,1.0896142929300257
824,image,oracle,0.9257915737701462
824,image,qalt,0.9259805200891109
824,image,exact_split,0.9259805200891109
824,image,full_token_exact,0.9259805200891109
824,image,diagonal_vae,1.0219023070047932
824,image,coarse_only,1.0250952354132794
824,image,full_token_euler,0.9260488897265875
824,video,oracle,1.149160453740718
824,video,qalt,1.1492541295737502
824,video,exact_split,1.1492541295737502
824,video,full_token_exact,1.1492541295737502
824,video,diagonal_vae,1.2549641214862355
824,video,coarse_only,1.2624580808877506
824,video,full_token_euler,1.1493532473235109
825,image,oracle,0.9467189369994391
825,image,qalt,0.9466740310340418
825,image,exact_split,0.9466740310340418
825,image,full_token_exact,0.9466740310340418
825,image,diagonal_vae,1.0457920069499012
825,image,coarse_only,1.0470943998714934
825,image,full_token_euler,0.9467659414048195
825,video,oracle,1.1506599796006654
825,video,qalt,1.1508028418818506
825,video,exact_split,1.1508028418818506
825,video,full_token_exact,1.1508028418818506
825,video,diagonal_vae,1.2575363989537016
825,video,coarse_only,1.263702882040501
825,video,full_token_euler,1.1509840237006954
826,image,oracle,0.9136645576589709
826,image,qalt,0.9136493687547383
826,image,exact_split,0.9136493687547383
826,image,full_token_exact,0.9136493687547383
826,image,diagonal_vae,1.0171108963017153
826,image,coarse_only,1.0210432987422415
826,image,full_token_euler,0.9137599101361101
826,video,oracle,1.1684410604989064
826,video,qalt,1.1685483285323728
826,video,exact_split,1.1685483285323728
